V01: INTRADAY PROFILE OF ENTRY DAYS (T+2)

Events analyzed: 1113
Minute observations: 2,828,884

Lowest avg price: minute 297 (-0.13% from open)
Close avg: -0.06% from open
Potential savings (buy at low vs close): 0.07%

Average price path (% from open):
Minute     Time     Avg%     Med%  Winners   Losers
--------------------------------------------------
     0     9:30   -0.02%   +0.00%   -0.02%   -0.06%
     1     9:31   -0.02%   +0.00%   -0.01%   -0.06%
     2     9:32   +0.01%   +0.00%   +0.02%   -0.06%
     3     9:33   +0.02%   +0.00%   +0.04%   -0.07%
     4     9:34   +0.01%   +0.00%   +0.03%   -0.09%
     5     9:35   +0.00%   +0.00%   +0.03%   -0.11%
     6     9:36   +0.00%   +0.00%   +0.03%   -0.12%
     7     9:37   -0.00%   +0.00%   +0.02%   -0.12%
     8     9:38   -0.02%   +0.00%   +0.01%   -0.14%
     9     9:39   -0.03%   -0.01%   -0.00%   -0.18%
    10     9:40   -0.05%   -0.02%   -0.01%   -0.22%
    11     9:41   -0.04%   +0.00%   +0.01%   -0.25%
    12     9:42   -0.03%   +0.00%   +0.02%   -0.27%
    13     9:43   -0.05%   -0.01%   -0.00%   -0.30%
    14     9:44   -0.06%   -0.02%   -0.01%   -0.29%
    15     9:45   -0.08%   -0.03%   -0.04%   -0.27%
    16     9:46   -0.08%   -0.02%   -0.03%   -0.27%
    17     9:47   -0.07%   -0.02%   -0.02%   -0.31%
    18     9:48   -0.06%   -0.02%   -0.01%   -0.30%
    19     9:49   -0.07%   -0.03%   -0.02%   -0.31%
    20     9:50   -0.06%   -0.02%   -0.01%   -0.30%
    21     9:51   -0.05%   -0.01%   +0.01%   -0.30%
    22     9:52   -0.03%   -0.01%   +0.03%   -0.29%
    23     9:53   +0.00%   +0.01%   +0.06%   -0.26%
    24     9:54   +0.02%   +0.01%   +0.08%   -0.26%
    25     9:55   +0.05%   +0.03%   +0.11%   -0.21%
    26     9:56   +0.05%   +0.02%   +0.11%   -0.19%
    27     9:57   +0.05%   +0.03%   +0.11%   -0.20%
    28     9:58   +0.07%   +0.03%   +0.12%   -0.17%
    29     9:59   +0.06%   +0.03%   +0.11%   -0.19%
    30    10:00   +0.08%   +0.03%   +0.14%   -0.18%
    31    10:01   +0.08%   +0.03%   +0.14%   -0.18%
    32    10:02   +0.08%   +0.03%   +0.14%   -0.17%
    33    10:03   +0.07%   +0.01%   +0.12%   -0.18%
    34    10:04   +0.07%   +0.02%   +0.13%   -0.22%
    35    10:05   +0.10%   +0.04%   +0.17%   -0.20%
    36    10:06   +0.10%   +0.03%   +0.16%   -0.18%
    37    10:07   +0.10%   +0.05%   +0.17%   -0.18%
    38    10:08   +0.11%   +0.04%   +0.17%   -0.18%
    39    10:09   +0.09%   +0.05%   +0.16%   -0.20%
    40    10:10   +0.10%   +0.04%   +0.17%   -0.19%
    41    10:11   +0.12%   +0.05%   +0.19%   -0.17%
    42    10:12   +0.13%   +0.05%   +0.19%   -0.17%
    43    10:13   +0.14%   +0.04%   +0.21%   -0.16%
    44    10:14   +0.14%   +0.06%   +0.22%   -0.18%
    45    10:15   +0.15%   +0.04%   +0.21%   -0.16%
    46    10:16   +0.16%   +0.04%   +0.23%   -0.15%
    47    10:17   +0.16%   +0.04%   +0.23%   -0.13%
    48    10:18   +0.15%   +0.04%   +0.21%   -0.11%
    49    10:19   +0.15%   +0.05%   +0.21%   -0.14%
    50    10:20   +0.12%   +0.04%   +0.18%   -0.17%
    51    10:21   +0.12%   +0.04%   +0.19%   -0.20%
    52    10:22   +0.12%   +0.06%   +0.19%   -0.19%
    53    10:23   +0.11%   +0.05%   +0.18%   -0.21%
    54    10:24   +0.10%   +0.05%   +0.18%   -0.24%
    55    10:25   +0.11%   +0.04%   +0.19%   -0.25%
    56    10:26   +0.12%   +0.05%   +0.21%   -0.25%
    57    10:27   +0.11%   +0.04%   +0.19%   -0.25%
    58    10:28   +0.10%   +0.04%   +0.19%   -0.28%
    59    10:29   +0.08%   +0.02%   +0.16%   -0.29%
    60    10:30   +0.08%   +0.03%   +0.16%   -0.29%
    61    10:31   +0.09%   +0.03%   +0.18%   -0.31%
    62    10:32   +0.08%   +0.04%   +0.18%   -0.33%
    63    10:33   +0.09%   +0.02%   +0.18%   -0.31%
    64    10:34   +0.08%   +0.03%   +0.18%   -0.34%
    65    10:35   +0.07%   +0.02%   +0.17%   -0.35%
    66    10:36   +0.06%   +0.01%   +0.16%   -0.35%
    67    10:37   +0.06%   +0.01%   +0.16%   -0.36%
    68    10:38   +0.07%   +0.01%   +0.18%   -0.37%
    69    10:39   +0.09%   +0.03%   +0.20%   -0.37%
    70    10:40   +0.08%   +0.02%   +0.19%   -0.39%
    71    10:41   +0.09%   +0.02%   +0.20%   -0.39%
    72    10:42   +0.08%   +0.02%   +0.20%   -0.43%
    73    10:43   +0.08%   +0.02%   +0.20%   -0.43%
    74    10:44   +0.08%   +0.01%   +0.20%   -0.44%
    75    10:45   +0.09%   +0.03%   +0.21%   -0.45%
    76    10:46   +0.08%   +0.02%   +0.21%   -0.46%
    77    10:47   +0.07%   +0.02%   +0.20%   -0.48%
    78    10:48   +0.06%   +0.02%   +0.19%   -0.48%
    79    10:49   +0.05%   -0.01%   +0.17%   -0.51%
    80    10:50   +0.04%   -0.02%   +0.17%   -0.52%
    81    10:51   +0.04%   -0.01%   +0.17%   -0.53%
    82    10:52   +0.03%   -0.01%   +0.16%   -0.54%
    83    10:53   +0.04%   -0.02%   +0.17%   -0.54%
    84    10:54   +0.04%   -0.01%   +0.17%   -0.53%
    85    10:55   +0.05%   -0.01%   +0.18%   -0.54%
    86    10:56   +0.03%   -0.02%   +0.16%   -0.56%
    87    10:57   +0.01%   -0.02%   +0.14%   -0.58%
    88    10:58   +0.01%   -0.03%   +0.15%   -0.60%
    89    10:59   +0.01%   -0.04%   +0.15%   -0.62%
    90    11:00   +0.01%   -0.04%   +0.16%   -0.62%
    91    11:01   +0.02%   -0.03%   +0.17%   -0.64%
    92    11:02   +0.03%   -0.01%   +0.19%   -0.63%
    93    11:03   +0.03%   -0.02%   +0.18%   -0.63%
    94    11:04   +0.02%   -0.02%   +0.17%   -0.65%
    95    11:05   +0.01%   -0.03%   +0.16%   -0.65%
    96    11:06   +0.01%   -0.04%   +0.16%   -0.65%
    97    11:07   +0.01%   -0.03%   +0.16%   -0.67%
    98    11:08   +0.02%   -0.02%   +0.17%   -0.65%
    99    11:09   +0.03%   -0.02%   +0.18%   -0.64%
   100    11:10   +0.03%   -0.03%   +0.18%   -0.66%
   101    11:11   +0.02%   -0.03%   +0.18%   -0.66%
   102    11:12   +0.02%   -0.03%   +0.18%   -0.66%
   103    11:13   +0.03%   -0.02%   +0.19%   -0.65%
   104    11:14   +0.03%   -0.01%   +0.19%   -0.65%
   105    11:15   +0.02%   -0.02%   +0.17%   -0.66%
   106    11:16   +0.02%   -0.02%   +0.17%   -0.64%
   107    11:17   +0.01%   -0.03%   +0.16%   -0.64%
   108    11:18   +0.02%   -0.03%   +0.18%   -0.65%
   109    11:19   +0.02%   -0.02%   +0.17%   -0.65%
   110    11:20   +0.03%   -0.01%   +0.19%   -0.64%
   111    11:21   +0.01%   -0.04%   +0.17%   -0.65%
   112    11:22   +0.01%   -0.03%   +0.17%   -0.66%
   113    11:23   +0.00%   -0.03%   +0.16%   -0.68%
   114    11:24   +0.00%   -0.04%   +0.15%   -0.67%
   115    11:25   -0.00%   -0.03%   +0.16%   -0.68%
   116    11:26   -0.01%   -0.05%   +0.14%   -0.69%
   117    11:27   -0.01%   -0.05%   +0.14%   -0.68%
   118    11:28   -0.02%   -0.05%   +0.14%   -0.68%
   119    11:29   -0.03%   -0.06%   +0.13%   -0.71%
   120    11:30   -0.02%   -0.05%   +0.14%   -0.71%
   121    11:31   -0.03%   -0.06%   +0.13%   -0.73%
   122    11:32   -0.03%   -0.06%   +0.14%   -0.76%
   123    11:33   -0.02%   -0.04%   +0.14%   -0.74%
   124    11:34   -0.03%   -0.04%   +0.13%   -0.73%
   125    11:35   -0.01%   -0.03%   +0.15%   -0.69%
   126    11:36   +0.01%   -0.02%   +0.16%   -0.67%
   127    11:37   +0.02%   -0.02%   +0.17%   -0.67%
   128    11:38   +0.01%   -0.01%   +0.17%   -0.68%
   129    11:39   +0.00%   -0.02%   +0.16%   -0.68%
   130    11:40   -0.00%   -0.03%   +0.16%   -0.68%
   131    11:41   -0.00%   -0.02%   +0.16%   -0.69%
   132    11:42   -0.02%   -0.02%   +0.14%   -0.68%
   133    11:43   -0.01%   -0.02%   +0.15%   -0.68%
   134    11:44   -0.01%   -0.02%   +0.14%   -0.68%
   135    11:45   -0.03%   -0.03%   +0.12%   -0.67%
   136    11:46   -0.03%   -0.04%   +0.12%   -0.68%
   137    11:47   -0.02%   -0.03%   +0.13%   -0.68%
   138    11:48   -0.02%   -0.02%   +0.14%   -0.68%
   139    11:49   -0.01%   -0.02%   +0.15%   -0.68%
   140    11:50   -0.00%   -0.03%   +0.15%   -0.68%
   141    11:51   +0.00%   -0.02%   +0.15%   -0.67%
   142    11:52   +0.00%   -0.02%   +0.16%   -0.69%
   143    11:53   -0.01%   -0.03%   +0.15%   -0.70%
   144    11:54   -0.00%   -0.02%   +0.16%   -0.70%
   145    11:55   +0.01%   -0.02%   +0.17%   -0.70%
   146    11:56   +0.02%   -0.01%   +0.18%   -0.67%
   147    11:57   +0.02%   -0.02%   +0.18%   -0.68%
   148    11:58   +0.02%   +0.00%   +0.18%   -0.67%
   149    11:59   +0.03%   -0.01%   +0.19%   -0.67%
   150    12:00   +0.03%   +0.00%   +0.19%   -0.67%
   151    12:01   +0.02%   +0.00%   +0.18%   -0.69%
   152    12:02   +0.02%   +0.00%   +0.19%   -0.70%
   153    12:03   +0.03%   +0.00%   +0.20%   -0.72%
   154    12:04   +0.03%   +0.00%   +0.20%   -0.71%
   155    12:05   +0.03%   +0.00%   +0.19%   -0.71%
   156    12:06   +0.03%   +0.01%   +0.20%   -0.69%
   157    12:07   +0.03%   +0.00%   +0.20%   -0.67%
   158    12:08   +0.02%   -0.01%   +0.19%   -0.68%
   159    12:09   +0.02%   -0.02%   +0.17%   -0.67%
   160    12:10   +0.02%   -0.02%   +0.18%   -0.67%
   161    12:11   +0.03%   -0.02%   +0.19%   -0.66%
   162    12:12   +0.03%   -0.01%   +0.19%   -0.68%
   163    12:13   +0.03%   -0.01%   +0.20%   -0.69%
   164    12:14   +0.02%   -0.01%   +0.19%   -0.68%
   165    12:15   +0.03%   +0.00%   +0.19%   -0.67%
   166    12:16   +0.03%   +0.00%   +0.19%   -0.67%
   167    12:17   +0.02%   -0.00%   +0.18%   -0.68%
   168    12:18   +0.02%   +0.01%   +0.18%   -0.68%
   169    12:19   +0.02%   +0.01%   +0.18%   -0.67%
   170    12:20   +0.03%   +0.03%   +0.20%   -0.67%
   171    12:21   +0.03%   +0.01%   +0.19%   -0.67%
   172    12:22   +0.03%   +0.01%   +0.19%   -0.67%
   173    12:23   +0.03%   +0.01%   +0.19%   -0.67%
   174    12:24   +0.03%   +0.01%   +0.19%   -0.68%
   175    12:25   +0.03%   +0.02%   +0.20%   -0.69%
   176    12:26   +0.03%   +0.03%   +0.20%   -0.69%
   177    12:27   +0.03%   +0.02%   +0.19%   -0.69%
   178    12:28   +0.03%   +0.01%   +0.20%   -0.68%
   179    12:29   +0.03%   +0.01%   +0.19%   -0.70%
   180    12:30   +0.03%   +0.01%   +0.20%   -0.70%
   181    12:31   +0.03%   +0.00%   +0.19%   -0.69%
   182    12:32   +0.03%   +0.01%   +0.19%   -0.69%
   183    12:33   +0.03%   +0.01%   +0.20%   -0.70%
   184    12:34   +0.04%   +0.02%   +0.21%   -0.70%
   185    12:35   +0.03%   +0.01%   +0.20%   -0.72%
   186    12:36   +0.03%   +0.00%   +0.20%   -0.72%
   187    12:37   +0.02%   -0.01%   +0.19%   -0.72%
   188    12:38   +0.02%   -0.00%   +0.20%   -0.72%
   189    12:39   +0.03%   -0.01%   +0.20%   -0.71%
   190    12:40   +0.02%   -0.00%   +0.19%   -0.70%
   191    12:41   +0.01%   -0.01%   +0.18%   -0.72%
   192    12:42   +0.01%   -0.01%   +0.18%   -0.71%
   193    12:43   +0.02%   -0.02%   +0.19%   -0.72%
   194    12:44   +0.02%   -0.02%   +0.19%   -0.73%
   195    12:45   +0.00%   -0.03%   +0.17%   -0.74%
   196    12:46   -0.01%   -0.04%   +0.17%   -0.75%
   197    12:47   +0.00%   -0.03%   +0.17%   -0.74%
   198    12:48   +0.01%   -0.02%   +0.18%   -0.74%
   199    12:49   +0.01%   -0.02%   +0.19%   -0.74%
   200    12:50   +0.01%   -0.03%   +0.18%   -0.73%
   201    12:51   +0.01%   -0.03%   +0.18%   -0.72%
   202    12:52   +0.01%   -0.02%   +0.18%   -0.72%
   203    12:53   +0.00%   -0.02%   +0.17%   -0.74%
   204    12:54   +0.01%   -0.02%   +0.18%   -0.73%
