V09: DIP ENTRY + TARGET SWEEP

                   Config   Return  Trades    WR  Hold  Targets
------------------------------------------------------------
       Dip entry, +3%/30d   +69.6%     996   84%   10d      825
       Dip entry, +3%/45d   +86.1%     870   88%   12d      754
       Dip entry, +3%/60d   +62.2%     770   89%   15d      677
       Dip entry, +5%/30d   +81.3%     779   76%   14d      563
       Dip entry, +5%/45d   +93.3%     656   80%   18d      506
       Dip entry, +5%/60d   +84.1%     580   82%   22d      464
       Dip entry, +7%/30d   +88.5%     668   68%   18d      403
       Dip entry, +7%/45d   +94.1%     537   73%   23d      366
       Dip entry, +7%/60d   +90.8%     463   77%   29d      329
      Dip entry, +10%/30d  +111.4%     587   65%   21d      290
      Dip entry, +10%/45d  +123.5%     460   69%   28d      271
      Dip entry, +10%/60d  +111.3%     391   72%   35d      247
