OPENING RANGE BREAKOUT ON DROP CANDIDATES

                                        Label    Total   CAGR    WR  Trades  AvgTrade
-------------------------------------------------------------------------------------
            30min ORB, +0.5%, T+1, gated, 1/3   +18.5%  +2.9%   79%     423   +0.122%
              30min ORB, +1%, T+1, gated, 1/3   +14.5%  +2.3%   64%     423   +0.100%
              30min ORB, +2%, T+1, gated, 1/3   +15.4%  +2.4%   56%     423   +0.108%
              30min ORB, +3%, T+1, gated, 1/3   +24.2%  +3.7%   56%     423   +0.161%
              15min ORB, +1%, T+1, gated, 1/3   +26.5%  +4.0%   68%     414   +0.175%
              15min ORB, +2%, T+1, gated, 1/3   +30.5%  +4.5%   59%     414   +0.202%
              60min ORB, +1%, T+1, gated, 1/3   +22.6%  +3.5%   62%     409   +0.153%
              60min ORB, +2%, T+1, gated, 1/3   +26.4%  +4.0%   56%     409   +0.177%
              30min ORB, +1%, T+2, gated, 1/3   +12.6%  +2.0%   65%     426   +0.088%
              30min ORB, +2%, T+2, gated, 1/3   +16.2%  +2.5%   54%     426   +0.114%
            30min ORB, +1%, T+1, NO gate, 1/3    -1.3%  -0.2%   65%    1009   +0.004%
            30min ORB, +2%, T+1, NO gate, 1/3   -10.8%  -1.9%   54%    1009   -0.021%
        30min ORB, +1%, T+1, gated, 1/4, max8   +13.4%  +2.1%   65%     455   +0.115%
        30min ORB, +2%, T+1, gated, 1/4, max8   +13.3%  +2.1%   57%     455   +0.115%
         30min ORB, sell at close, T+1, gated   +30.2%  +4.5%   56%     423   +0.195%
         15min ORB, sell at close, T+1, gated   +49.6%  +6.9%   58%     414   +0.304%
