TINY TARGET EXPLORATION
Regime gate + D+1 filter + compounding

                                   Label    Total   CAGR    WR  Trades  Hold   Worst
-------------------------------------------------------------------------------------
            +0.25%/60d, 1/3 bull, D+1>0%    -9.3%  -1.6%   98%     309    4d   -8.0%
             +0.5%/60d, 1/3 bull, D+1>0%    -0.5%  -0.1%   97%     304    4d  -11.8%
               +1%/60d, 1/3 bull, D+1>0%   +27.8%  +4.2%   96%     277    6d  -12.8%
               +2%/60d, 1/3 bull, D+1>0%   +42.5%  +6.1%   92%     227   11d  -18.0%
               +3%/60d, 1/3 bull, D+1>0%   +47.3%  +6.7%   87%     166   17d   -8.7%
               +5%/60d, 1/3 bull, D+1>0%   +61.6%  +8.3%   80%     139   22d  -16.8%
            +0.25%/60d, 1/3 bull, D+1>1%    -8.3%  -1.4%   98%     243    4d   -5.5%
             +0.5%/60d, 1/3 bull, D+1>1%    -3.8%  -0.6%   97%     243    4d  -13.8%
               +1%/60d, 1/3 bull, D+1>1%   +25.7%  +3.9%   96%     229    6d  -14.3%
               +2%/60d, 1/3 bull, D+1>1%   +65.4%  +8.7%   94%     204    9d  -14.2%
               +3%/60d, 1/3 bull, D+1>1%  +102.0% +12.4%   92%     164   14d   -1.4%
               +5%/60d, 1/3 bull, D+1>1%  +131.8% +15.0%   85%     143   20d  -17.4%
             +0.5%/10d, 1/3 bull, D+1>0%   -15.5%  -2.8%   93%     325    2d   -6.6%
             +0.5%/20d, 1/3 bull, D+1>0%    +1.9%  +0.3%   96%     321    3d   -7.2%
               +1%/10d, 1/3 bull, D+1>0%   -15.6%  -2.8%   86%     310    3d  -15.3%
               +1%/20d, 1/3 bull, D+1>0%   +19.8%  +3.1%   92%     300    4d   -6.3%
               +2%/10d, 1/3 bull, D+1>0%   +13.4%  +2.1%   77%     273    4d   -9.7%
               +2%/20d, 1/3 bull, D+1>0%   +34.6%  +5.1%   84%     261    6d  -15.9%
