batch,events,start_date,end_date
1,20,2020-01-31,2020-01-31
2,20,2020-02-04,2020-02-24
3,20,2020-02-24,2020-02-24
4,20,2020-02-24,2020-02-24
5,20,2020-02-24,2020-02-25
6,20,2020-02-25,2020-02-25
7,20,2020-02-25,2020-02-25
8,20,2020-02-25,2020-02-26
9,20,2020-02-27,2020-02-27
10,20,2020-02-27,2020-02-27
11,20,2020-02-27,2020-02-27
12,20,2020-02-27,2020-02-27
13,20,2020-02-27,2020-02-28
14,20,2020-03-02,2020-03-03
15,20,2020-03-03,2020-03-03
16,20,2020-03-03,2020-03-05
17,20,2020-03-05,2020-03-05
18,20,2020-03-05,2020-03-05
19,20,2020-03-05,2020-03-06
20,20,2020-03-06,2020-03-09
21,20,2020-03-09,2020-03-09
22,20,2020-03-09,2020-03-09
23,20,2020-03-09,2020-03-09
24,20,2020-03-09,2020-03-11
25,20,2020-03-11,2020-03-11
26,20,2020-03-11,2020-03-11
27,20,2020-03-11,2020-03-11
28,20,2020-03-11,2020-03-11
29,20,2020-03-11,2020-03-12
30,20,2020-03-12,2020-03-12
31,20,2020-03-12,2020-03-12
32,20,2020-03-12,2020-03-12
33,20,2020-03-12,2020-03-16
34,20,2020-03-16,2020-03-16
35,20,2020-03-16,2020-03-16
36,20,2020-03-16,2020-03-16
37,20,2020-03-16,2020-03-16
38,20,2020-03-16,2020-03-17
39,20,2020-03-17,2020-03-18
40,20,2020-03-18,2020-03-18
41,20,2020-03-18,2020-03-18
42,20,2020-03-18,2020-03-19
43,20,2020-03-19,2020-03-20
44,20,2020-03-20,2020-03-20
45,20,2020-03-20,2020-03-20
46,20,2020-03-20,2020-03-23
47,20,2020-03-23,2020-03-23
48,20,2020-03-23,2020-03-23
49,20,2020-03-23,2020-03-27
50,20,2020-03-27,2020-03-27
51,20,2020-03-27,2020-03-27
52,20,2020-03-27,2020-03-31
53,20,2020-03-31,2020-04-01
54,20,2020-04-01,2020-04-01
55,20,2020-04-01,2020-04-01
56,20,2020-04-01,2020-04-01
57,20,2020-04-01,2020-04-03
58,20,2020-04-03,2020-04-03
59,20,2020-04-03,2020-04-13
60,20,2020-04-13,2020-04-15
61,20,2020-04-15,2020-04-15
62,20,2020-04-15,2020-04-16
63,20,2020-04-16,2020-04-20
64,20,2020-04-20,2020-04-21
65,20,2020-04-21,2020-04-21
66,20,2020-04-21,2020-04-21
67,20,2020-04-21,2020-04-28
68,20,2020-04-28,2020-04-30
69,20,2020-04-30,2020-05-01
70,20,2020-05-01,2020-05-01
71,20,2020-05-01,2020-05-05
72,20,2020-05-05,2020-05-11
73,20,2020-05-11,2020-05-12
74,20,2020-05-12,2020-05-13
75,20,2020-05-13,2020-05-19
76,20,2020-05-19,2020-05-26
77,20,2020-05-26,2020-05-29
78,20,2020-05-29,2020-06-10
79,20,2020-06-10,2020-06-11
80,20,2020-06-11,2020-06-11
81,20,2020-06-11,2020-06-11
82,20,2020-06-11,2020-06-11
83,20,2020-06-11,2020-06-11
84,20,2020-06-11,2020-06-19
85,20,2020-06-24,2020-06-24
86,20,2020-06-24,2020-06-26
87,20,2020-06-26,2020-06-26
88,20,2020-06-26,2020-07-07
89,20,2020-07-07,2020-07-13
90,20,2020-07-13,2020-07-17
91,20,2020-07-17,2020-07-28
92,20,2020-07-28,2020-07-31
93,20,2020-08-06,2020-08-20
94,20,2020-08-20,2020-09-03
95,20,2020-09-03,2020-09-03
96,20,2020-09-03,2020-09-04
97,20,2020-09-04,2020-09-08
98,20,2020-09-08,2020-09-10
99,20,2020-09-10,2020-09-17
100,20,2020-09-17,2020-09-21
101,20,2020-09-21,2020-09-23
102,20,2020-09-23,2020-10-02
103,20,2020-10-02,2020-10-14
104,20,2020-10-14,2020-10-26
105,20,2020-10-26,2020-10-27
106,20,2020-10-27,2020-10-28
107,20,2020-10-28,2020-10-28
108,20,2020-10-28,2020-10-28
109,20,2020-10-28,2020-11-04
110,20,2020-11-04,2020-11-09
111,20,2020-11-09,2020-11-10
112,20,2020-11-10,2020-11-18
113,20,2020-11-18,2020-12-09
114,20,2020-12-09,2020-12-24
115,20,2020-12-29,2021-01-06
116,20,2021-01-08,2021-01-21
117,20,2021-01-21,2021-01-27
118,20,2021-01-27,2021-01-27
119,20,2021-01-27,2021-01-29
120,20,2021-01-29,2021-02-03
121,20,2021-02-03,2021-02-22
122,20,2021-02-22,2021-02-25
123,20,2021-02-25,2021-02-25
124,20,2021-02-25,2021-03-03
125,20,2021-03-03,2021-03-04
126,20,2021-03-04,2021-03-08
127,20,2021-03-08,2021-03-18
128,20,2021-03-18,2021-03-19
129,20,2021-03-23,2021-03-29
130,20,2021-03-30,2021-04-20
131,20,2021-04-20,2021-04-28
132,20,2021-04-28,2021-05-04
133,20,2021-05-04,2021-05-11
134,20,2021-05-11,2021-05-12
135,20,2021-05-12,2021-06-10
136,20,2021-06-11,2021-06-18
137,20,2021-06-18,2021-07-06
138,20,2021-07-07,2021-07-19
139,20,2021-07-19,2021-07-27
140,20,2021-07-29,2021-08-18
141,20,2021-08-18,2021-09-14
142,20,2021-09-15,2021-09-27
143,20,2021-09-27,2021-09-29
144,20,2021-09-29,2021-10-08
145,20,2021-10-08,2021-10-27
146,20,2021-10-27,2021-11-08
147,20,2021-11-08,2021-11-17
148,20,2021-11-18,2021-11-26
149,20,2021-11-26,2021-11-26
150,20,2021-11-26,2021-11-30
151,20,2021-11-30,2021-12-01
152,20,2021-12-01,2021-12-09
153,20,2021-12-09,2021-12-14
154,20,2021-12-15,2021-12-17
155,20,2021-12-20,2022-01-05
156,20,2022-01-05,2022-01-07
157,20,2022-01-07,2022-01-13
158,20,2022-01-13,2022-01-18
159,20,2022-01-18,2022-01-20
160,20,2022-01-20,2022-01-25
161,20,2022-01-25,2022-01-27
162,20,2022-01-27,2022-02-03
163,20,2022-02-03,2022-02-04
164,20,2022-02-04,2022-02-10
165,20,2022-02-11,2022-02-11
166,20,2022-02-11,2022-02-17
167,20,2022-02-17,2022-02-18
168,20,2022-02-18,2022-02-23
169,20,2022-02-23,2022-03-01
170,20,2022-03-01,2022-03-01
171,20,2022-03-01,2022-03-04
172,20,2022-03-04,2022-03-07
173,20,2022-03-07,2022-03-07
174,20,2022-03-07,2022-03-07
175,20,2022-03-07,2022-03-11
176,20,2022-03-11,2022-03-16
177,20,2022-03-16,2022-03-23
178,20,2022-03-23,2022-03-31
179,20,2022-03-31,2022-04-05
180,20,2022-04-05,2022-04-06
181,20,2022-04-06,2022-04-11
182,20,2022-04-11,2022-04-14
183,20,2022-04-19,2022-04-21
184,20,2022-04-21,2022-04-22
185,20,2022-04-22,2022-04-22
186,20,2022-04-22,2022-04-26
187,20,2022-04-26,2022-04-26
188,20,2022-04-26,2022-04-29
189,20,2022-04-29,2022-04-29
190,20,2022-04-29,2022-04-29
191,20,2022-04-29,2022-05-05
192,20,2022-05-05,2022-05-05
193,20,2022-05-05,2022-05-05
194,20,2022-05-05,2022-05-09
195,20,2022-05-09,2022-05-09
196,20,2022-05-09,2022-05-11
197,20,2022-05-11,2022-05-16
198,20,2022-05-18,2022-05-18
199,20,2022-05-18,2022-05-18
200,20,2022-05-18,2022-05-19
201,20,2022-05-19,2022-05-24
202,20,2022-05-24,2022-06-08
203,20,2022-06-08,2022-06-09
204,20,2022-06-09,2022-06-10
205,20,2022-06-10,2022-06-10
206,20,2022-06-10,2022-06-10
207,20,2022-06-13,2022-06-13
208,20,2022-06-13,2022-06-13
209,20,2022-06-13,2022-06-13
210,20,2022-06-13,2022-06-16
211,20,2022-06-16,2022-06-16
212,20,2022-06-16,2022-06-22
213,20,2022-06-23,2022-06-28
214,20,2022-06-28,2022-06-30
215,20,2022-07-01,2022-07-11
216,20,2022-07-11,2022-07-14
217,20,2022-07-14,2022-07-26
218,20,2022-07-26,2022-08-02
219,20,2022-08-02,2022-08-17
220,20,2022-08-17,2022-08-22
221,20,2022-08-22,2022-08-26
222,20,2022-08-26,2022-08-26
223,20,2022-08-26,2022-08-26
224,20,2022-08-26,2022-09-06
225,20,2022-09-12,2022-09-13
226,20,2022-09-13,2022-09-13
227,20,2022-09-13,2022-09-13
228,20,2022-09-13,2022-09-15
229,20,2022-09-15,2022-09-21
230,20,2022-09-21,2022-09-23
231,20,2022-09-23,2022-09-29
232,20,2022-09-29,2022-09-30
233,20,2022-09-30,2022-10-07
234,20,2022-10-07,2022-10-07
235,20,2022-10-07,2022-10-12
236,20,2022-10-12,2022-10-14
237,20,2022-10-14,2022-10-20
238,20,2022-10-21,2022-11-01
239,20,2022-11-01,2022-11-02
240,20,2022-11-02,2022-11-03
241,20,2022-11-04,2022-11-09
242,20,2022-11-09,2022-11-16
243,20,2022-11-16,2022-11-21
244,20,2022-11-21,2022-12-05
245,20,2022-12-05,2022-12-07
246,20,2022-12-07,2022-12-15
247,20,2022-12-15,2022-12-16
248,20,2022-12-16,2022-12-22
249,20,2022-12-22,2023-01-05
250,20,2023-01-06,2023-01-18
251,20,2023-01-18,2023-01-25
252,20,2023-01-26,2023-02-02
253,20,2023-02-02,2023-02-08
254,20,2023-02-08,2023-02-16
255,20,2023-02-16,2023-02-21
256,20,2023-02-21,2023-03-07
257,20,2023-03-08,2023-03-09
258,20,2023-03-09,2023-03-13
259,20,2023-03-13,2023-03-15
260,20,2023-03-17,2023-03-22
261,20,2023-03-22,2023-04-05
262,20,2023-04-05,2023-04-25
263,20,2023-04-25,2023-05-01
264,20,2023-05-01,2023-05-04
265,20,2023-05-04,2023-05-25
266,20,2023-05-25,2023-06-07
267,20,2023-06-07,2023-06-21
268,20,2023-06-21,2023-07-06
269,20,2023-07-06,2023-07-20
270,20,2023-07-20,2023-08-02
271,20,2023-08-02,2023-08-11
272,20,2023-08-11,2023-08-24
273,20,2023-08-24,2023-09-15
274,20,2023-09-15,2023-09-21
275,20,2023-09-21,2023-10-03
276,20,2023-10-03,2023-10-12
277,20,2023-10-13,2023-10-18
278,20,2023-10-18,2023-10-25
279,20,2023-10-25,2023-10-26
280,20,2023-10-26,2023-11-09
281,20,2023-11-09,2023-12-13
282,20,2023-12-14,2024-01-02
283,20,2024-01-02,2024-01-12
284,20,2024-01-16,2024-01-31
285,20,2024-02-01,2024-02-13
286,20,2024-02-13,2024-03-05
287,20,2024-03-05,2024-03-13
288,20,2024-03-13,2024-04-04
289,20,2024-04-04,2024-04-12
290,20,2024-04-12,2024-04-19
291,20,2024-04-19,2024-04-30
292,20,2024-04-30,2024-05-08
293,20,2024-05-13,2024-05-30
294,20,2024-05-30,2024-06-14
295,20,2024-06-20,2024-06-27
296,20,2024-06-28,2024-07-17
297,20,2024-07-17,2024-07-18
298,20,2024-07-18,2024-07-24
299,20,2024-07-24,2024-07-25
300,20,2024-07-25,2024-08-01
301,20,2024-08-01,2024-08-02
302,20,2024-08-02,2024-08-02
303,20,2024-08-02,2024-08-05
304,20,2024-08-05,2024-08-07
305,20,2024-08-07,2024-08-26
306,20,2024-08-26,2024-09-03
307,20,2024-09-03,2024-09-06
308,20,2024-09-06,2024-09-25
309,20,2024-09-26,2024-10-10
310,20,2024-10-10,2024-10-21
311,20,2024-10-21,2024-10-30
312,20,2024-10-30,2024-11-06
313,20,2024-11-07,2024-11-14
314,20,2024-11-14,2024-11-19
315,20,2024-11-20,2024-12-03
316,20,2024-12-05,2024-12-11
317,20,2024-12-12,2024-12-18
318,20,2024-12-18,2024-12-18
319,20,2024-12-18,2024-12-31
320,20,2025-01-02,2025-01-10
321,20,2025-01-10,2025-01-23
322,20,2025-01-24,2025-01-28
323,20,2025-01-28,2025-02-05
324,20,2025-02-05,2025-02-12
325,20,2025-02-12,2025-02-21
326,20,2025-02-21,2025-02-25
327,20,2025-02-26,2025-03-03
328,20,2025-03-03,2025-03-04
329,20,2025-03-04,2025-03-06
330,20,2025-03-06,2025-03-07
331,20,2025-03-10,2025-03-10
332,20,2025-03-10,2025-03-10
333,20,2025-03-10,2025-03-11
334,20,2025-03-12,2025-03-19
335,20,2025-03-20,2025-03-26
336,20,2025-03-26,2025-03-28
337,20,2025-03-28,2025-04-03
338,20,2025-04-03,2025-04-03
339,20,2025-04-03,2025-04-03
340,20,2025-04-03,2025-04-04
341,20,2025-04-04,2025-04-04
342,20,2025-04-04,2025-04-04
343,20,2025-04-04,2025-04-04
344,20,2025-04-04,2025-04-04
345,20,2025-04-04,2025-04-08
346,20,2025-04-08,2025-04-10
347,20,2025-04-10,2025-04-10
348,20,2025-04-10,2025-04-10
349,20,2025-04-10,2025-04-16
350,20,2025-04-16,2025-04-21
351,20,2025-04-21,2025-05-05
352,20,2025-05-06,2025-05-13
353,20,2025-05-13,2025-05-21
354,20,2025-05-21,2025-06-05
355,20,2025-06-06,2025-06-17
356,20,2025-06-17,2025-07-01
357,20,2025-07-01,2025-07-15
358,20,2025-07-15,2025-07-24
359,20,2025-07-24,2025-07-31
360,20,2025-07-31,2025-08-06
361,20,2025-08-06,2025-08-19
362,20,2025-08-19,2025-09-02
363,20,2025-09-02,2025-09-11
364,20,2025-09-11,2025-10-01
