feature,loser_share,overall_share,lift
event_type=management_change,0.0020352781546811396,0.0008938832843825821,2.28
event_type=product_service_failure,0.0047489823609226595,0.002170859404929128,2.19
d1_return<0,0.8283582089552238,0.44668624696718173,1.85
event_type=insider_selling,0.0006784260515603799,0.0003830928361639637,1.77
event_type=guidance_cut,0.016960651289009497,0.010981994636700293,1.54
event_type=analyst_downgrade,0.0013568521031207597,0.0008938832843825821,1.52
severity=high,0.029850746268656716,0.01979312986847146,1.51
vix25-30,0.2530529172320217,0.18631081598774102,1.36
vix<15,0.07937584803256445,0.06372110841527263,1.25
vix15-20,0.24151967435549526,0.19435576554718426,1.24
event_type=capital_structure,0.0020352781546811396,0.0016600689567105094,1.23
severity=low,0.0101763907734057,0.008428042395607202,1.21
event_type=earnings_miss,0.0033921302578018998,0.0028093474652024007,1.21
event_type=no_clear_catalyst,0.013568521031207599,0.01200357553313753,1.13
event_type=regulatory_legal,0.0027137042062415195,0.002426254629038437,1.12
vix20-25,0.2062415196743555,0.19192951091814583,1.07
event_type=unlabeled,0.9457259158751696,0.957093602349636,0.99
severity=unlabeled,0.9457259158751696,0.957093602349636,0.99
severity=medium,0.014246947082767978,0.014685225386285276,0.97
event_type=demand_weakness,0.006105834464043419,0.007023368663006002,0.87
vix30-40,0.1621438263229308,0.19524964883156684,0.83
event_type=competitive_threat,0.0006784260515603799,0.0016600689567105094,0.41
vix40+,0.057666214382632294,0.1684331503000894,0.34
d1_return>=0,0.12618724559023067,0.5130890052356021,0.25
