d1_return,d1_vwap,count,hit_5_60,good_trade,loser_rate,ugly_loser,med_max_dd
<-2%,<-1%,2387,62.1,48.5,37.9,27.0,-6.7
<-2%,-1 to 0,15,80.0,80.0,20.0,0.0,-3.3
<-2%,0 to 1%,20,80.0,70.0,20.0,10.0,-5.4
<-2%,1%+,1058,70.8,56.3,29.2,18.8,-5.1
-2 to 0,<-1%,17,94.1,82.4,5.9,5.9,-0.9
-2 to 0,1%+,22,77.3,59.1,22.7,22.7,-4.5
0 to 2%,<-1%,9,66.7,33.3,33.3,11.1,-3.4
0 to 2%,1%+,6,83.3,66.7,16.7,16.7,-2.0
2 to 4%,<-1%,15,80.0,80.0,20.0,13.3,-1.7
2 to 4%,1%+,15,93.3,86.7,6.7,6.7,-2.9
4%+,<-1%,929,91.7,77.0,8.3,9.8,-1.9
4%+,-1 to 0,30,93.3,80.0,6.7,6.7,-0.1
4%+,0 to 1%,13,100.0,76.9,0.0,15.4,-3.1
4%+,1%+,2982,96.8,78.7,3.2,11.7,-1.5
