rule,count,coverage,hit_5_60,good_trade,loser_rate,ugly_loser,med_max_dd,yearly_good_trade
D+1>=2% + VWAP>=1% + non-co-specific,816,10.4,98.9,68.5,1.1,24.6,-2.4,[np.float64(68.5)]
D+1>=4% + VWAP>=1% + HYG>0 + non-co-spec,207,2.6,98.6,92.3,1.4,2.9,0.1,[np.float64(92.3)]
D+1>=4% + VIX>=30,1621,20.7,98.3,75.4,1.7,16.7,-1.6,"[np.float64(69.4), np.float64(94.6), np.float64(81.7), np.float64(95.8), np.float64(96.3)]"
D+1>=2% + VWAP>=1% + D+2 FH>=2%,1532,19.6,98.0,80.6,2.0,11.0,-0.8,"[np.float64(72.9), np.float64(88.4), np.float64(78.9), np.float64(90.1), np.float64(83.8), np.float64(89.7)]"
D+1>=4% + non-company-specific,964,12.3,97.4,68.7,2.6,24.2,-2.5,[np.float64(68.7)]
D+1>=4% + D+2 FH positive,2089,26.7,97.0,80.5,3.0,10.5,-0.9,"[np.float64(73.0), np.float64(88.5), np.float64(78.4), np.float64(89.6), np.float64(80.2), np.float64(88.8)]"
D+1 ret>=4% + VWAP>=1%,2982,38.1,96.8,78.7,3.2,11.7,-1.5,"[np.float64(72.7), np.float64(87.6), np.float64(73.1), np.float64(89.8), np.float64(82.5), np.float64(85.6)]"
D+1 ret>=2% + VWAP>=1%,2997,38.3,96.8,78.7,3.2,11.6,-1.5,"[np.float64(72.7), np.float64(87.4), np.float64(73.3), np.float64(89.9), np.float64(82.6), np.float64(85.5)]"
D+1 green + above VWAP,3037,38.8,96.7,78.6,3.3,11.8,-1.5,"[np.float64(72.6), np.float64(87.6), np.float64(73.2), np.float64(89.7), np.float64(82.2), np.float64(85.4)]"
D+1>=4% + drop>=5%,1340,17.1,96.3,73.1,3.7,15.4,-2.5,"[np.float64(65.1), np.float64(79.0), np.float64(73.1), np.float64(86.9), np.float64(80.8), np.float64(83.0)]"
D+1>=4% + VWAP>=1% + HYG>0,912,11.6,96.3,84.1,3.7,5.8,-0.8,"[np.float64(91.0), np.float64(87.7), np.float64(62.7), np.float64(90.0), np.float64(82.6), np.float64(86.0)]"
D+1>=2% + VWAP>=1% + HYG>0,919,11.7,96.2,84.0,3.8,5.9,-0.9,"[np.float64(91.0), np.float64(86.7), np.float64(63.1), np.float64(90.1), np.float64(82.8), np.float64(85.4)]"
D+1 ret >= 4%,3954,50.5,95.6,78.3,4.4,11.2,-1.6,"[np.float64(72.7), np.float64(85.7), np.float64(73.9), np.float64(88.8), np.float64(79.7), np.float64(83.5)]"
D+1 ret >= 2%,3984,50.9,95.5,78.3,4.5,11.2,-1.6,"[np.float64(72.7), np.float64(85.6), np.float64(74.1), np.float64(89.0), np.float64(79.4), np.float64(83.6)]"
D+1>=4% + drop<5%,2614,33.4,95.3,80.9,4.7,9.0,-1.2,"[np.float64(78.8), np.float64(87.8), np.float64(74.2), np.float64(89.4), np.float64(79.2), np.float64(83.8)]"
D+1 ret>=4% + HYG 5d>0,1202,15.3,94.3,81.1,5.7,7.1,-1.2,"[np.float64(88.6), np.float64(81.2), np.float64(63.5), np.float64(89.1), np.float64(75.3), np.float64(80.7)]"
D+1>=4% + VIX<30,2333,29.8,93.7,80.3,6.3,7.4,-1.5,"[np.float64(85.9), np.float64(84.4), np.float64(68.1), np.float64(88.8), np.float64(78.6), np.float64(80.1)]"
D+1 close > VWAP by 1%+,4083,52.1,89.9,72.8,10.1,13.6,-2.6,"[np.float64(68.5), np.float64(80.8), np.float64(64.4), np.float64(81.6), np.float64(76.2), np.float64(80.2)]"
D+1 ret < 0 (VETO check),3500,44.7,65.1,51.3,34.9,24.2,-6.1,"[np.float64(42.5), np.float64(63.5), np.float64(47.0), np.float64(56.5), np.float64(62.0), np.float64(57.3)]"
D+1 ret < -2% (VETO check),3480,44.4,64.9,51.1,35.1,24.3,-6.2,"[np.float64(42.4), np.float64(63.2), np.float64(46.9), np.float64(56.4), np.float64(62.0), np.float64(57.2)]"
