stock_event_type,-2 to 0,0 to 1%,1 to 2%,2 to 4%,4%+,<-2%
capital_structure,,,,,0.875,0.2
competitive_threat,,,,,0.75,
demand_weakness,,,,,0.7857142857142857,0.48
earnings_miss,,,,,0.8333333333333334,0.6666666666666666
guidance_cut,,,,,0.8478260869565217,0.3333333333333333
management_change,,,,,,0.3333333333333333
no_clear_catalyst,,,,,0.7884615384615384,0.2564102564102564
product_service_failure,,,,,0.875,0.25
regulatory_legal,,,,,1.0,0.2222222222222222
unlabeled,0.7027027027027027,0.4,0.5555555555555556,0.8333333333333334,0.7811920529801325,0.5183183183183183
