stock_event_type,-1 to 0,0 to 1%,1%+,<-1%
analyst_downgrade,,,,0.16666666666666666
capital_structure,,,0.14285714285714285,0.3333333333333333
competitive_threat,,,0.0,0.0
demand_weakness,,,0.08,0.25
earnings_miss,,,0.0,0.125
guidance_cut,,,0.07692307692307693,0.09090909090909091
no_clear_catalyst,,,0.11627906976744186,0.3469387755102041
product_service_failure,,,0.0,0.125
regulatory_legal,,,0.0,0.2222222222222222
unlabeled,0.04878048780487805,0.12121212121212122,0.13772912423625255,0.22047738693467336
