atr_bin,drop_bin,n,FAST%,LOSE%,ret/day,avg_days
<0.8,0-5,126,61.9,8.7,3.53%,6.4
<0.8,6-12,121,62.8,6.6,2.78%,8.6
<0.8,13-23,186,59.7,3.8,2.75%,8.5
<0.8,24-60,316,70.3,0.9,3.37%,6.7
<0.8,61-93,255,92.9,0.8,5.56%,3.6
<0.8,94+,110,30.0,1.8,1.27%,13.4
0.8-1.0,0-5,150,46.0,14.7,2.22%,10.7
0.8-1.0,6-12,172,54.1,14.0,2.40%,9.0
0.8-1.0,13-23,205,62.4,10.7,2.65%,7.6
0.8-1.0,24-60,177,50.3,10.2,1.96%,9.7
0.8-1.0,61-93,85,70.6,3.5,5.64%,6.0
0.8-1.0,94+,85,15.3,10.6,1.31%,18.1
1.0-1.2,0-5,198,40.9,11.1,1.79%,12.1
1.0-1.2,6-12,199,44.2,17.6,2.07%,10.9
1.0-1.2,13-23,210,50.5,11.4,1.98%,11.0
1.0-1.2,24-60,195,43.6,12.3,1.54%,12.2
1.0-1.2,61-93,82,62.2,4.9,3.67%,7.2
1.0-1.2,94+,78,29.5,9.0,1.76%,19.6
1.2-1.4,0-5,180,35.0,18.3,1.47%,12.5
1.2-1.4,6-12,227,47.6,9.7,1.86%,11.4
1.2-1.4,13-23,199,46.2,15.1,1.70%,10.2
1.2-1.4,24-60,225,40.0,13.3,1.42%,14.0
1.2-1.4,61-93,67,56.7,13.4,2.46%,7.9
1.2-1.4,94+,44,31.8,13.6,1.27%,20.6
1.4-1.8,0-5,377,27.3,18.0,1.27%,14.5
1.4-1.8,6-12,342,33.3,13.5,1.54%,13.3
1.4-1.8,13-23,343,34.4,16.6,1.42%,12.6
1.4-1.8,24-60,385,30.4,24.2,1.23%,15.5
1.4-1.8,61-93,155,44.5,21.9,2.09%,12.0
1.4-1.8,94+,40,42.5,30.0,1.56%,8.9
1.8+,0-5,663,14.0,28.5,0.94%,18.0
1.8+,6-12,415,18.1,24.1,1.11%,17.2
1.8+,13-23,342,21.6,24.9,1.13%,15.7
1.8+,24-60,359,19.5,29.0,1.06%,19.1
1.8+,61-93,118,36.4,12.7,1.57%,18.5
1.8+,94+,24,54.2,8.3,1.48%,8.5
