atr_bin,reb_bin,n,FAST%,LOSE%,ret/day,avg_days
<0.8,<0.5%,222,59.0,4.1,2.87%,8.1
<0.8,0.5-1%,235,67.2,2.1,3.15%,6.9
<0.8,1-2%,306,69.9,2.9,3.76%,7.4
<0.8,2-3%,134,73.9,3.0,3.92%,7.0
<0.8,3%+,217,71.4,2.8,3.98%,5.9
0.8-1.0,<0.5%,288,52.1,12.8,2.46%,8.9
0.8-1.0,0.5-1%,204,47.5,12.7,2.10%,10.9
0.8-1.0,1-2%,226,56.6,9.7,2.86%,9.1
0.8-1.0,2-3%,84,56.0,8.3,3.03%,9.3
0.8-1.0,3%+,72,41.7,8.3,2.64%,11.3
1.0-1.2,<0.5%,372,47.0,12.9,2.01%,11.7
1.0-1.2,0.5-1%,233,44.6,12.0,1.88%,11.7
1.0-1.2,1-2%,219,43.8,13.2,2.06%,12.5
1.0-1.2,2-3%,67,46.3,6.0,2.31%,11.4
1.0-1.2,3%+,71,39.4,9.9,1.78%,11.3
1.2-1.4,<0.5%,419,43.7,13.8,1.68%,12.8
1.2-1.4,0.5-1%,228,47.8,11.4,1.59%,10.8
1.2-1.4,1-2%,189,37.0,14.3,1.65%,12.9
1.2-1.4,2-3%,71,45.1,15.5,1.93%,10.2
1.2-1.4,3%+,34,29.4,23.5,1.49%,14.5
1.4-1.8,<0.5%,754,34.9,18.2,1.43%,13.4
1.4-1.8,0.5-1%,398,31.4,17.6,1.47%,14.0
1.4-1.8,1-2%,336,31.2,22.6,1.34%,13.0
1.4-1.8,2-3%,95,27.4,16.8,1.76%,15.3
1.4-1.8,3%+,56,33.9,19.6,1.24%,15.8
1.8+,<0.5%,1038,20.7,23.0,1.06%,16.8
1.8+,0.5-1%,424,17.9,27.8,1.11%,18.1
1.8+,1-2%,329,18.5,28.3,1.09%,18.0
1.8+,2-3%,78,17.9,32.1,1.20%,16.7
1.8+,3%+,47,4.3,42.6,0.93%,28.4
