atr_bin,dropsz_bin,n,FAST%,LOSE%,ret/day,avg_days
<0.8,3-4%,246,69.9,4.1,3.25%,7.0
<0.8,4-5%,225,66.2,2.2,3.14%,7.4
<0.8,5-7%,290,73.4,3.4,4.02%,5.7
<0.8,7-10%,184,69.0,2.2,3.93%,7.4
<0.8,10%+,169,56.8,2.4,3.09%,8.8
0.8-1.0,3-4%,279,57.0,11.1,2.55%,8.6
0.8-1.0,4-5%,184,51.6,12.5,2.53%,9.4
0.8-1.0,5-7%,238,56.7,10.9,2.85%,8.4
0.8-1.0,7-10%,110,45.5,8.2,2.50%,11.9
0.8-1.0,10%+,63,20.6,14.3,1.54%,16.0
1.0-1.2,3-4%,411,47.4,11.4,2.14%,11.1
1.0-1.2,4-5%,211,47.4,14.7,1.80%,10.5
1.0-1.2,5-7%,189,41.8,11.6,2.01%,12.7
1.0-1.2,7-10%,124,38.7,10.5,1.89%,14.7
1.0-1.2,10%+,27,44.4,11.1,1.76%,13.7
1.2-1.4,3-4%,436,41.5,13.3,1.64%,12.6
1.2-1.4,4-5%,227,45.4,15.4,1.70%,11.0
1.2-1.4,5-7%,178,43.8,12.4,1.62%,11.9
1.2-1.4,7-10%,82,42.7,13.4,1.79%,13.0
1.2-1.4,10%+,19,42.1,21.1,1.45%,14.2
1.4-1.8,3-4%,831,33.8,17.3,1.46%,13.2
1.4-1.8,4-5%,420,33.1,18.3,1.42%,14.6
1.4-1.8,5-7%,278,30.6,23.0,1.41%,12.5
1.4-1.8,7-10%,91,33.0,17.6,1.44%,16.7
1.4-1.8,10%+,22,13.6,40.9,1.03%,18.8
1.8+,3-4%,1192,19.6,24.9,1.10%,17.4
1.8+,4-5%,416,16.6,25.5,0.99%,17.5
1.8+,5-7%,236,21.6,28.8,1.09%,18.2
1.8+,7-10%,64,21.9,28.1,1.17%,16.6
1.8+,10%+,13,0.0,46.2,0.81%,18.4
