abs_sector_bin,drop_bin,n,FAST%,LOSE%,ret/day,avg_days
<0.5%,0-5,478,25.1,22.0,1.20%,14.7
<0.5%,6-12,468,33.8,16.5,1.62%,13.7
<0.5%,13-23,424,35.6,18.4,1.59%,12.4
<0.5%,24-60,541,35.7,20.5,1.45%,13.9
<0.5%,61-93,189,51.9,13.8,3.34%,12.3
<0.5%,94+,65,29.2,10.8,1.18%,16.1
0.5-1%,0-5,402,24.4,23.4,1.28%,15.4
0.5-1%,6-12,388,35.6,18.3,1.55%,13.2
0.5-1%,13-23,353,40.5,17.8,1.57%,11.7
0.5-1%,24-60,434,38.2,15.4,1.59%,13.7
0.5-1%,61-93,183,56.3,9.3,3.00%,10.0
0.5-1%,94+,70,40.0,14.3,1.87%,13.8
1-2%,0-5,486,29.8,19.5,1.37%,13.9
1-2%,6-12,392,38.0,15.1,1.71%,12.5
1-2%,13-23,463,43.0,14.3,1.81%,11.0
1-2%,24-60,460,38.5,16.7,1.63%,13.3
1-2%,61-93,196,65.3,9.7,3.67%,7.1
1-2%,94+,108,23.1,15.7,1.18%,17.2
2-3%,0-5,208,27.9,23.1,1.53%,14.3
2-3%,6-12,169,41.4,15.4,1.98%,12.0
2-3%,13-23,175,45.1,9.7,1.77%,10.8
2-3%,24-60,173,53.8,12.1,2.12%,9.9
2-3%,61-93,99,75.8,4.0,4.08%,6.9
2-3%,94+,64,29.7,6.2,1.38%,18.0
3%+,0-5,190,44.7,13.2,2.79%,11.0
3%+,6-12,123,48.8,11.4,2.23%,11.0
3%+,13-23,174,56.9,9.2,2.71%,9.3
3%+,24-60,159,56.6,7.5,3.14%,9.6
3%+,61-93,125,86.4,3.2,5.14%,5.5
3%+,94+,78,29.5,2.6,1.54%,13.6
