tier,exit_day,exit_reason,gross_return,net_return,size_mult,success_label,good_trade,ugly_loser,year
CONFIDENT_YES,2,profit_target,0.05,0.042075,0.85,True,True,False,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,True,False,2020
SMALLER_YES,7,profit_target,0.05,0.019800000000000005,0.4,True,True,False,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,True,False,2020
CONFIDENT_YES,2,profit_target,0.05,0.042075,0.85,True,True,False,2020
SMALLER_YES,3,profit_target,0.05,0.019800000000000005,0.4,True,True,False,2020
SMALLER_YES,3,profit_target,0.05,0.019800000000000005,0.4,True,True,False,2020
SMALLER_YES,3,profit_target,0.05,0.019800000000000005,0.4,True,True,False,2020
SMALLER_YES,3,profit_target,0.05,0.019800000000000005,0.4,True,True,False,2020
CONFIDENT_YES,9,profit_target,0.05,0.0495,1.0,True,True,False,2020
CONFIDENT_YES,3,profit_target,0.05,0.042075,0.85,True,True,False,2020
SMALLER_YES,2,profit_target,0.05,0.019800000000000005,0.4,True,True,False,2020
CONFIDENT_YES,3,profit_target,0.05,0.0495,1.0,True,False,False,2020
CONFIDENT_YES,11,stop_loss,-0.08,-0.0805,1.0,True,False,True,2020
CONFIDENT_YES,4,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,7,ugly_loss_stop,-0.12,-0.07229999999999999,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,5,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
SMALLER_YES,5,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,2,profit_target,0.05,0.019800000000000005,0.4,True,False,True,2020
SMALLER_YES,6,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,False,2020
SMALLER_YES,2,profit_target,0.05,0.019800000000000005,0.4,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,2,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,4,profit_target,0.05,0.019800000000000005,0.4,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,6,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
SMALLER_YES,7,ugly_loss_stop,-0.12,-0.07229999999999999,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,True,False,2020
SMALLER_YES,2,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,5,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,4,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.019800000000000005,0.4,True,False,True,2020
SMALLER_YES,5,profit_target,0.05,0.029699999999999997,0.6,True,True,False,2020
SMALLER_YES,5,ugly_loss_stop,-0.12,-0.07229999999999999,0.6,True,False,True,2020
SMALLER_YES,9,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
SMALLER_YES,3,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
SMALLER_YES,2,profit_target,0.05,0.029699999999999997,0.6,True,False,True,2020
CONFIDENT_YES,4,ugly_loss_stop,-0.12,-0.10242499999999999,0.85,True,False,True,2020
SMALLER_YES,4,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,4,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
CONFIDENT_YES,3,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
SMALLER_YES,4,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
CONFIDENT_YES,4,stop_loss,-0.08,-0.068425,0.85,True,False,False,2020
CONFIDENT_YES,3,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,4,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
SMALLER_YES,4,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
CONFIDENT_YES,3,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
SMALLER_YES,4,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
CONFIDENT_YES,3,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,4,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
CONFIDENT_YES,4,ugly_loss_stop,-0.12,-0.10242499999999999,0.85,True,False,True,2020
SMALLER_YES,4,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
SMALLER_YES,6,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,3,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
SMALLER_YES,4,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
CONFIDENT_YES,7,ugly_loss_stop,-0.12,-0.10242499999999999,0.85,True,False,True,2020
CONFIDENT_YES,3,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
CONFIDENT_YES,4,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
CONFIDENT_YES,3,ugly_loss_stop,-0.12,-0.10242499999999999,0.85,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
CONFIDENT_YES,3,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
CONFIDENT_YES,3,stop_loss,-0.08,-0.068425,0.85,True,False,True,2020
SMALLER_YES,4,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
SMALLER_YES,4,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
CONFIDENT_YES,4,ugly_loss_stop,-0.12,-0.10242499999999999,0.85,True,False,True,2020
SMALLER_YES,3,ugly_loss_stop,-0.12,-0.0482,0.4,True,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,2,ugly_loss_stop,-0.12,-0.0482,0.4,False,False,True,2020
SMALLER_YES,5,ugly_loss_stop,-0.12,-0.0482,0.4,False,False,True,2020
CONFIDENT_YES,2,stop_loss,-0.08,-0.0805,1.0,True,False,True,2020
SMALLER_YES,2,stop_loss,-0.08,-0.0322,0.4,True,False,True,2020
SMALLER_YES,5,ugly_loss_stop,-0.12,-0.0482,0.4,False,False,True,2020
SMALLER_YES,2,stop_loss,-0.08,-0.0322,0.4,False,False,True,2020
SMALLER_YES,3,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
SMALLER_YES,3,ugly_loss_stop,-0.12,-0.07229999999999999,0.6,True,False,True,2020
SMALLER_YES,2,stop_loss,-0.08,-0.0483,0.6,True,False,True,2020
SMALLER_YES,3,ugly_loss_stop,-0.12,-0.07229999999999999,0.6,True,False,False,2020
